縣市,案名,興辦主體,戶數,工程決標日期,開工日期,完工日期,執行情況
新竹市,公學新村乙區,新竹市政府,4,83/10/31,83/11/30,89/9/30,既有
新竹市,公學新村甲區,新竹市政府,2,83/10/31,83/11/30,87/4/10,既有
新竹市,中雅安居,中央(住都中心),638,111/1/20,111/10/17,(預定)115/7/31,興建中
新竹市,建功安居,中央(住都中心),743,112/7/31,(預定)114/2/17,(預定)117/7/31,已決標待開工
新竹市,金城安居,中央(住都中心),922,113/3/28,(預定)114/12/31,(預定)118/8/31,已決標待開工
新竹市,新竹市建功公辦都市更新案,中央(住都中心),200,112/5/18,(預定)114/11/30,(預定)119/12/31,已決標待開工
新竹市,公學新村乙區,新竹市政府,4,83/10/31,83/11/30,89/9/30,既有
新竹市,公學新村甲區,新竹市政府,2,83/10/31,83/11/30,87/4/10,既有
新竹市,中雅安居,中央(住都中心),638,111/1/20,111/10/17,(預定)115/7/31,興建中
新竹市,建功安居,中央(住都中心),743,112/7/31,(預定)114/2/17,(預定)117/7/31,已決標待開工
新竹市,金城安居,中央(住都中心),922,113/3/28,(預定)114/12/31,(預定)118/8/31,已決標待開工
新竹市,新竹市建功公辦都市更新案,中央(住都中心),200,112/5/18,(預定)114/11/30,(預定)119/12/31,已決標待開工
