縣市,鄉鎮市區,村里,105年宅數,105年比例
嘉義市,東區,荖藤里,430,19.27%
嘉義市,東區,後湖里,127,8.34%
嘉義市,東區,仁義里,94,7.28%
嘉義市,東區,中庄里,200,12.32%
嘉義市,東區,頂庄里,79,8.87%
嘉義市,東區,圳頭里,206,10.33%
嘉義市,東區,新店里,166,9.43%
嘉義市,東區,後庄里,150,9.54%
嘉義市,東區,王田里,152,12.10%
嘉義市,東區,東川里,152,14.99%
嘉義市,東區,太平里,181,8.63%
嘉義市,東區,盧厝里,147,18.47%
嘉義市,東區,鹿寮里,43,11.42%
嘉義市,東區,長竹里,147,10.47%
嘉義市,東區,短竹里,126,9.17%
嘉義市,東區,新開里,142,13.81%
嘉義市,東區,宣信里,95,13.84%
嘉義市,東區,興南里,132,15.34%
嘉義市,東區,豐年里,129,18.54%
嘉義市,東區,芳草里,261,13.28%
嘉義市,東區,芳安里,125,12.90%
嘉義市,東區,頂寮里,102,9.63%
嘉義市,東區,安寮里,154,11.26%
嘉義市,東區,興安里,74,8.31%
嘉義市,東區,興村里,237,12.53%
嘉義市,東區,興仁里,129,8.37%
嘉義市,東區,過溝里,52,5.22%
嘉義市,東區,民族里,112,13.04%
嘉義市,東區,朝陽里,145,15.75%
嘉義市,東區,華南里,133,12.45%
嘉義市,東區,東興里,94,9.03%
嘉義市,東區,中山里,195,17.28%
嘉義市,東區,中央里,159,13.65%
嘉義市,東區,林森里,89,9.91%
嘉義市,東區,北門里,217,21.83%
嘉義市,東區,蘭潭里,227,15.20%
嘉義市,東區,文雅里,251,11.54%
嘉義市,東區,安業里,60,6.90%
嘉義市,東區,義教里,107,8.99%
嘉義市,西區,香湖里,83,25.00%
嘉義市,西區,湖邊里,183,20.41%
嘉義市,西區,北榮里,199,16.45%
嘉義市,西區,重興里,230,22.35%
嘉義市,西區,竹圍里,550,24.60%
嘉義市,西區,新厝里,179,11.11%
嘉義市,西區,保安里,262,16.08%
嘉義市,西區,北湖里,199,18.18%
嘉義市,西區,下埤里,75,12.99%
嘉義市,西區,竹村里,0,0.00%
嘉義市,西區,大溪里,78,10.00%
嘉義市,西區,福全里,427,18.06%
嘉義市,西區,西平里,148,10.53%
嘉義市,西區,磚?里,260,14.29%
嘉義市,西區,港坪里,118,8.41%
嘉義市,西區,頭港里,40,6.12%
嘉義市,西區,劉厝里,247,8.44%
嘉義市,西區,新西里,95,10.29%
嘉義市,西區,書院里,246,22.08%
嘉義市,西區,培元里,296,34.26%
嘉義市,西區,垂楊里,172,16.98%
嘉義市,西區,車店里,523,20.27%
嘉義市,西區,福民里,343,16.33%
嘉義市,西區,湖內里,157,11.76%
嘉義市,西區,美源里,461,26.54%
嘉義市,西區,育英里,92,10.26%
嘉義市,西區,致遠里,147,16.00%
嘉義市,西區,光路里,221,10.53%
嘉義市,西區,翠岱里,394,49.06%
嘉義市,西區,自強里,268,34.38%
嘉義市,西區,永和里,305,27.14%
嘉義市,西區,新富里,155,17.91%
嘉義市,西區,文化里,160,12.23%
嘉義市,西區,西榮里,287,19.78%
嘉義市,西區,國華里,435,48.42%
嘉義市,西區,番社里,146,18.52%
嘉義市,西區,導明里,152,18.75%
嘉義市,西區,慶安里,185,25.58%
嘉義市,西區,後驛里,355,31.25%
嘉義市,西區,福安里,321,16.51%
嘉義市,西區,獅子里,162,13.56%
嘉義市,西區,紅瓦里,46,9.19%
嘉義市,西區,保福里,247,13.02%
嘉義市,西區,保生里,265,14.08%
嘉義市,西區,北新里,34,9.09%
