縣市,鄉鎮市區,107宅數,107比率(%)
高雄市,全區,106955,10.11
高雄市,鹽埕區,1721,14.25
高雄市,鼓山區,6686,11.05
高雄市,左營區,7383,9.19
高雄市,楠梓區,7977,10.58
高雄市,三民區,11968,8.86
高雄市,新興區,4041,15.13
高雄市,前金區,2518,16.14
高雄市,苓雅區,7768,10.95
高雄市,前鎮區,8327,11.23
高雄市,旗津區,626,8.86
高雄市,小港區,4145,8.53
高雄市,鳳山區,10600,7.91
高雄市,林園區,2319,10.28
高雄市,大寮區,3486,8.70
高雄市,大樹區,1631,11.80
高雄市,大社區,1064,8.13
高雄市,仁武區,3428,10.52
高雄市,鳥松區,2592,14.05
高雄市,岡山區,2942,8.55
高雄市,橋頭區,1710,11.76
高雄市,燕巢區,896,9.41
高雄市,田寮區,376,19.31
高雄市,阿蓮區,609,6.71
高雄市,路竹區,1452,8.10
高雄市,湖內區,1185,9.89
高雄市,茄萣區,730,8.04
高雄市,永安區,289,8.89
高雄市,彌陀區,317,5.93
高雄市,梓官區,1010,8.52
高雄市,旗山區,2412,16.11
高雄市,美濃區,1527,10.89
高雄市,六龜區,1005,18.82
高雄市,甲仙區,484,19.76
高雄市,杉林區,667,15.87
高雄市,內門區,605,13.01
高雄市,茂林區,40,8.61
高雄市,桃源區,182,16.62
高雄市,那瑪夏區,237,34.79
