縣市,鄉鎮市區,112H1宅數,112H1比率(%)
高雄市,全區,111896,10.03
高雄市,鹽埕區,1888,15.57
高雄市,鼓山區,6614,10.59
高雄市,左營區,8726,10.26
高雄市,楠梓區,7989,9.63
高雄市,三民區,13648,9.64
高雄市,新興區,3772,13.94
高雄市,前金區,2393,14.12
高雄市,苓雅區,8466,11.43
高雄市,前鎮區,7002,9.20
高雄市,旗津區,743,10.50
高雄市,小港區,4414,8.57
高雄市,鳳山區,10071,7.19
高雄市,林園區,2190,9.21
高雄市,大寮區,3388,8.02
高雄市,大樹區,1579,10.94
高雄市,大社區,988,7.32
高雄市,仁武區,3617,9.49
高雄市,鳥松區,2345,12.22
高雄市,岡山區,2950,8.26
高雄市,橋頭區,3283,16.84
高雄市,燕巢區,906,8.91
高雄市,田寮區,364,18.10
高雄市,阿蓮區,772,8.24
高雄市,路竹區,1682,9.13
高雄市,湖內區,1413,11.37
高雄市,茄萣區,756,7.98
高雄市,永安區,441,13.35
高雄市,彌陀區,502,9.09
高雄市,梓官區,1274,10.27
高雄市,旗山區,2356,15.51
高雄市,美濃區,1817,12.60
高雄市,六龜區,1109,20.48
高雄市,甲仙區,514,21.03
高雄市,杉林區,744,17.40
高雄市,內門區,784,16.70
高雄市,茂林區,41,8.33
高雄市,桃源區,178,15.67
高雄市,那瑪夏區,177,24.96
