縣市,鄉鎮市區,100宅數,100比率(%)
高雄市,全區,95012,9.65
高雄市,鹽埕區,1501,12.76
高雄市,鼓山區,5214,9.71
高雄市,左營區,6932,9.42
高雄市,楠梓區,6769,10.69
高雄市,三民區,10875,8.38
高雄市,新興區,3443,13.44
高雄市,前金區,1990,13.61
高雄市,苓雅區,7522,10.75
高雄市,前鎮區,6351,9.02
高雄市,旗津區,528,7.58
高雄市,小港區,3865,8.72
高雄市,鳳山區,9175,7.48
高雄市,林園區,2180,10.02
高雄市,大寮區,3765,9.83
高雄市,大樹區,1582,11.75
高雄市,大社區,981,7.96
高雄市,仁武區,2736,9.98
高雄市,鳥松區,2220,13.28
高雄市,岡山區,2776,8.43
高雄市,橋頭區,1502,11.25
高雄市,燕巢區,836,9.44
高雄市,田寮區,347,18.56
高雄市,阿蓮區,593,6.85
高雄市,路竹區,1262,7.52
高雄市,湖內區,1307,11.65
高雄市,茄萣區,795,9.25
高雄市,永安區,285,8.99
高雄市,彌陀區,276,5.48
高雄市,梓官區,1064,9.26
高雄市,旗山區,2230,15.17
高雄市,美濃區,1367,10.18
高雄市,六龜區,781,15.25
高雄市,甲仙區,424,17.50
高雄市,杉林區,667,16.75
高雄市,內門區,530,11.75
高雄市,茂林區,42,9.38
高雄市,桃源區,191,18.01
高雄市,那瑪夏區,108,18.84
