縣市,鄉鎮市區,106宅數,106比率(%)
高雄市,全區,101806,9.76
高雄市,鹽埕區,1551,13.08
高雄市,鼓山區,6605,11.04
高雄市,左營區,6812,8.59
高雄市,楠梓區,8113,11.06
高雄市,三民區,11168,8.33
高雄市,新興區,3571,13.62
高雄市,前金區,2104,13.87
高雄市,苓雅區,7500,10.67
高雄市,前鎮區,7044,9.76
高雄市,旗津區,621,8.81
高雄市,小港區,4308,8.98
高雄市,鳳山區,10403,7.85
高雄市,林園區,2214,9.91
高雄市,大寮區,3358,8.47
高雄市,大樹區,1570,11.39
高雄市,大社區,1027,7.93
高雄市,仁武區,3195,10.27
高雄市,鳥松區,2568,14.24
高雄市,岡山區,2682,7.90
高雄市,橋頭區,1861,13.02
高雄市,燕巢區,805,8.66
高雄市,田寮區,409,21.20
高雄市,阿蓮區,629,7.00
高雄市,路竹區,1372,7.75
高雄市,湖內區,1194,10.04
高雄市,茄萣區,756,8.38
高雄市,永安區,254,7.83
高雄市,彌陀區,304,5.74
高雄市,梓官區,1006,8.56
高雄市,旗山區,2250,15.11
高雄市,美濃區,1417,10.20
高雄市,六龜區,941,17.72
高雄市,甲仙區,494,20.18
高雄市,杉林區,666,15.89
高雄市,內門區,585,12.65
高雄市,茂林區,40,8.50
高雄市,桃源區,183,16.80
高雄市,那瑪夏區,226,33.82
