縣市,鄉鎮市區,109H1宅數,109H1比率(%)
高雄市,全區,100932,9.41
高雄市,鹽埕區,1809,15.01
高雄市,鼓山區,6788,11.09
高雄市,左營區,7214,8.88
高雄市,楠梓區,6583,8.53
高雄市,三民區,11833,8.68
高雄市,新興區,3807,14.25
高雄市,前金區,2392,15.07
高雄市,苓雅區,8049,11.18
高雄市,前鎮區,6641,8.87
高雄市,旗津區,700,9.88
高雄市,小港區,3809,7.68
高雄市,鳳山區,9077,6.70
高雄市,林園區,2052,9.01
高雄市,大寮區,2987,7.39
高雄市,大樹區,1365,9.75
高雄市,大社區,961,7.30
高雄市,仁武區,2792,8.25
高雄市,鳥松區,2354,12.66
高雄市,岡山區,2747,7.91
高雄市,橋頭區,2151,13.10
高雄市,燕巢區,822,8.50
高雄市,田寮區,325,16.51
高雄市,阿蓮區,659,7.21
高雄市,路竹區,1572,8.71
高雄市,湖內區,1337,11.05
高雄市,茄萣區,762,8.24
高雄市,永安區,450,13.76
高雄市,彌陀區,452,8.38
高雄市,梓官區,1098,9.17
高雄市,旗山區,2380,15.85
高雄市,美濃區,1627,11.52
高雄市,六龜區,1026,19.15
高雄市,甲仙區,495,20.26
高雄市,杉林區,706,16.71
高雄市,內門區,692,14.82
高雄市,茂林區,39,8.15
高雄市,桃源區,177,15.90
高雄市,那瑪夏區,202,29.46
