縣市,鄉鎮市區,113H1宅數,113H1比率(%)
高雄市,全區,114515,10.13
高雄市,鹽埕區,1704,14.07
高雄市,鼓山區,6692,10.57
高雄市,左營區,8356,9.70
高雄市,楠梓區,9078,10.62
高雄市,三民區,13378,9.37
高雄市,新興區,3740,13.65
高雄市,前金區,2249,13.31
高雄市,苓雅區,9050,11.95
高雄市,前鎮區,7182,9.36
高雄市,旗津區,794,11.22
高雄市,小港區,4570,8.72
高雄市,鳳山區,10911,7.69
高雄市,林園區,2286,9.45
高雄市,大寮區,3513,8.19
高雄市,大樹區,1653,11.27
高雄市,大社區,1235,8.90
高雄市,仁武區,3327,8.54
高雄市,鳥松區,2227,11.52
高雄市,岡山區,3087,8.51
高雄市,橋頭區,2769,13.95
高雄市,燕巢區,974,9.44
高雄市,田寮區,361,17.87
高雄市,阿蓮區,805,8.52
高雄市,路竹區,1724,9.32
高雄市,湖內區,1599,12.69
高雄市,茄萣區,772,8.12
高雄市,永安區,535,16.19
高雄市,彌陀區,594,10.65
高雄市,梓官區,1405,11.07
高雄市,旗山區,2427,15.90
高雄市,美濃區,1962,13.39
高雄市,六龜區,1143,21.01
高雄市,甲仙區,516,21.65
高雄市,杉林區,766,17.86
高雄市,內門區,722,15.33
高雄市,茂林區,52,10.59
高雄市,桃源區,187,16.50
高雄市,那瑪夏區,170,23.98
