縣市,鄉鎮市區,112H2宅數,112H2比率(%)
高雄市,全區,111919,9.00
高雄市,鹽埕區,1886,15.00
高雄市,鼓山區,6416,10.00
高雄市,左營區,7637,8.00
高雄市,楠梓區,8410,9.00
高雄市,三民區,12804,8.00
高雄市,新興區,3749,13.00
高雄市,前金區,2275,13.00
高雄市,苓雅區,8882,11.00
高雄市,前鎮區,7387,9.00
高雄市,旗津區,808,11.00
高雄市,小港區,4492,8.00
高雄市,鳳山區,10241,7.00
高雄市,林園區,2405,10.00
高雄市,大寮區,3829,8.00
高雄市,大樹區,1671,11.00
高雄市,大社區,1058,7.00
高雄市,仁武區,3472,9.00
高雄市,鳥松區,2262,11.00
高雄市,岡山區,3111,8.00
高雄市,橋頭區,3102,15.00
高雄市,燕巢區,958,9.00
高雄市,田寮區,350,17.00
高雄市,阿蓮區,771,8.00
高雄市,路竹區,1637,8.00
高雄市,湖內區,1320,10.00
高雄市,茄萣區,804,8.00
高雄市,永安區,410,12.00
高雄市,彌陀區,488,8.00
高雄市,梓官區,1219,9.00
高雄市,旗山區,2512,16.00
高雄市,美濃區,1929,13.00
高雄市,六龜區,1133,20.00
高雄市,甲仙區,524,21.00
高雄市,杉林區,735,17.00
高雄市,內門區,798,16.00
高雄市,茂林區,54,10.00
高雄市,桃源區,200,17.00
高雄市,那瑪夏區,180,25.00
