縣市,鄉鎮市區,108宅數,108比率(%)
高雄市,全區,99087,9.29
高雄市,鹽埕區,1846,15.31
高雄市,鼓山區,6340,10.40
高雄市,左營區,6465,7.98
高雄市,楠梓區,6727,8.76
高雄市,三民區,11191,8.26
高雄市,新興區,3905,14.63
高雄市,前金區,2382,15.09
高雄市,苓雅區,8410,11.73
高雄市,前鎮區,7445,10.00
高雄市,旗津區,724,10.23
高雄市,小港區,3638,7.38
高雄市,鳳山區,8810,6.54
高雄市,林園區,2018,8.91
高雄市,大寮區,3051,7.57
高雄市,大樹區,1421,10.18
高雄市,大社區,859,6.55
高雄市,仁武區,2140,6.48
高雄市,鳥松區,2097,11.31
高雄市,岡山區,2519,7.29
高雄市,橋頭區,2307,14.52
高雄市,燕巢區,830,8.62
高雄市,田寮區,348,17.73
高雄市,阿蓮區,664,7.27
高雄市,路竹區,1531,8.50
高雄市,湖內區,1327,11.00
高雄市,茄萣區,811,8.80
高雄市,永安區,428,13.10
高雄市,彌陀區,427,7.95
高雄市,梓官區,1128,9.44
高雄市,旗山區,2328,15.50
高雄市,美濃區,1650,11.72
高雄市,六龜區,1023,19.09
高雄市,甲仙區,486,19.93
高雄市,杉林區,670,15.89
高雄市,內門區,706,15.13
高雄市,茂林區,39,8.24
高雄市,桃源區,179,16.14
高雄市,那瑪夏區,217,31.67
