縣市,鄉鎮市區,109H2宅數,109H2比率(%)
高雄市,全區,100092,9.27
高雄市,鹽埕區,2028,16.60
高雄市,鼓山區,6116,10.00
高雄市,左營區,6502,7.91
高雄市,楠梓區,6334,8.10
高雄市,三民區,11581,8.43
高雄市,新興區,3793,14.17
高雄市,前金區,2321,14.39
高雄市,苓雅區,8353,11.56
高雄市,前鎮區,7070,9.41
高雄市,旗津區,766,10.83
高雄市,小港區,3683,7.40
高雄市,鳳山區,8956,6.57
高雄市,林園區,2042,8.90
高雄市,大寮區,3048,7.50
高雄市,大樹區,1447,10.28
高雄市,大社區,841,6.36
高雄市,仁武區,2676,7.77
高雄市,鳥松區,2156,11.50
高雄市,岡山區,2685,7.70
高雄市,橋頭區,2854,16.77
高雄市,燕巢區,799,8.21
高雄市,田寮區,364,18.39
高雄市,阿蓮區,655,7.13
高雄市,路竹區,1538,8.48
高雄市,湖內區,1299,10.71
高雄市,茄萣區,829,8.90
高雄市,永安區,436,13.29
高雄市,彌陀區,451,8.28
高雄市,梓官區,1135,9.43
高雄市,旗山區,2344,15.59
高雄市,美濃區,1629,11.51
高雄市,六龜區,1061,19.75
高雄市,甲仙區,485,19.88
高雄市,杉林區,667,15.79
高雄市,內門區,718,15.39
高雄市,茂林區,43,8.92
高雄市,桃源區,168,15.11
高雄市,那瑪夏區,219,31.82
