縣市,鄉鎮市區,106宅數,106比率(%)
臺中市,全區,91859,9.13
臺中市,中區,1873,19.19
臺中市,東區,3146,10.87
臺中市,南區,4977,8.72
臺中市,西區,5276,9.66
臺中市,北區,7783,10.87
臺中市,西屯區,10217,9.49
臺中市,南屯區,6009,9.23
臺中市,北屯區,10616,9.87
臺中市,豐原區,3902,7.66
臺中市,東勢區,1392,9.71
臺中市,大甲區,1679,7.68
臺中市,清水區,2486,10.04
臺中市,沙鹿區,3028,9.53
臺中市,梧棲區,1492,8.60
臺中市,后里區,1231,8.38
臺中市,神岡區,1267,6.90
臺中市,潭子區,2416,6.80
臺中市,大雅區,1821,6.32
臺中市,新社區,827,11.53
臺中市,石岡區,325,8.61
臺中市,外埔區,779,8.61
臺中市,大安區,458,8.47
臺中市,烏日區,2138,8.91
臺中市,大肚區,1555,8.56
臺中市,龍井區,2137,8.91
臺中市,霧峰區,1582,7.45
臺中市,太平區,5666,9.00
臺中市,大里區,5315,7.89
臺中市,和平區,466,18.94
